hand	heroPosition	heroHole	villainHole	board	winningsChips	winningsBb	decisions	villainObservations	action
4416	Button	7d5s	8cAd	Qh8h2d2s2h	3500	35.000	5	8	b250b750b1250c/b250b500c/kb1750c/kb3500f
4417	BigBlind	4d9d	AhTs	KsKhKcJh9s	1200	12.000	4	5	b200b300c/b300c/b600c/b1800f
4418	Button	8sTs	Kd9s	AsKsKhAc6c	1900	19.000	4	7	b300c/kb450c/kb1150c/kb1900f
4419	BigBlind	9hTh	2h6s		50	0.500	0	1	f
4420	Button	Qh2s	3c6c	KdTs6d8d	500	5.000	3	5	b250c/kb250c/kb500f
4421	BigBlind	5c9s	JcTs	Qh7c2c7h	600	6.000	3	4	b200b300c/b300c/b600f
4422	Button	5d6d	Ac7d	Qd9s8d	250	2.500	2	3	b250c/kb400f
4423	BigBlind	JsAs	8hKh	AcJcTd	450	4.500	2	3	b200b450c/b700f
4424	Button	2s6s	4s9s	Kc7c5c	250	2.500	2	3	b250c/kb250f
4425	BigBlind	Kd4h	7hTh		1800	18.000	2	3	b200b300b1800b3300f
4426	Button	Jh6s	6cKh	7s3h2c	250	2.500	2	3	b250c/kb250f
4427	BigBlind	KhAh	2c9s		50	0.500	0	1	f
4428	Button	9c7d	Kc6d	QdJh5d	250	2.500	2	3	b250c/kb250f
4429	BigBlind	6cAc	3c7c		200	2.000	1	2	b200b450f
4430	Button	7dKd	8cJh	JcTc2c9cKh	-2400	-24.000	4	7	b300c/kb300c/kb600c/kb1200c
4431	BigBlind	6dKh	4h8s		200	2.000	1	2	b200b300f
4432	Button	3h8h	5d9d	7d6d3sTcKc	20000	200.000	5	5	b250c/kb400b800b2100b8750b17250b19750c//
4433	BigBlind	3cKc	QhJs	9c8h3h5c	2650	26.500	4	5	b200b300c/b450b900b2350c/b4000f
4434	Button	Kd3s	JdJh	As3c2sAhJc	-20000	-200.000	4	3	b300b900b1800b8100b15550b20000c///
4435	BigBlind	7c4s	ThKs	Qc9s8s7hQd	1200	12.000	4	5	b200b300c/b300c/b600c/b1200f
4436	Button	Kd8h	5s7s	Ac8d2d	300	3.000	2	3	b300c/kb450f
4437	BigBlind	9dAd	8cAh	Td9c8s5h	1150	11.500	3	4	b200b450c/b700c/b1750f
4438	Button	Tc5h	6c5s	JcThTd	250	2.500	2	3	b250c/kb400f
